title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
Planet Earth II,,9.5,Documentary,2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Gordon Buchanan,Chadden Hunter",TV-G,"United Kingdom,Germany,France,China,United States","English,French",4h 58m,6,298
Breaking Bad,,9.5,"Crime,Drama,Thriller",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Vince Gilligan,Bryan Cranston,Aaron Paul,Anna Gunn",TV-MA,United States,"English,Spanish",49m,62,3038
Planet Earth,,9.4,Documentary,2006,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.","Sigourney Weaver,David Attenborough,Nikolay Drozdov",TV-PG,United Kingdom,English,8h 58m,11,538
Band of Brothers,,9.4,"Drama,History,War",2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston",TV-MA,"United Kingdom,United States","English,Dutch,French,German,Lithuanian",9h 54m,10,594
Regular Show,,8.5,"Animation,Action,Adventure",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"J.G. Quintel,J.G. Quintel,William Salyers,Sam Marin",TV-PG,United States,English,23m,245,5635
Jujutsu Kaisen,,8.5,"Animation,Action,Adventure",2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki,Adam McArthur,Yûichi Nakamura",TV-MA,Japan,Japanese,24m,25,600
Community,,8.5,Comedy,2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Dan Harmon,Joel McHale,Danny Pudi,Donald Glover",TV-14,United States,English,22m,110,2420
The Expanse,,8.5,"Drama,Mystery,Sci-Fi",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Daniel Abraham,Mark Fergus,Ty Franck,Steven Strait,Dominique Tipper,Wes Chatham",TV-14,United States,English,1h,62,60
The Defiant Ones,,8.5,"Documentary,Biography,Crime",2017,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Stevie Nicks,Bono,Tom Petty",TV-MA,United States,English,1h,4,60
It's Okay to Not Be Okay,Original title: Saikojiman Gwaenchanha,8.6,"Comedy,Drama,Romance",2020,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"Kim Soo-hyun,Seo Ye-Ji,Oh Jung-se",TV-MA,South Korea,Korean,1h 20m,16,80
Black Books,,8.5,Comedy,2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.","Dylan Moran,Dylan Moran,Bill Bailey,Tamsin Greig",TV-PG,United Kingdom,English,25m,18,450
Gintama,,8.7,"Animation,Action,Comedy",2005–2021,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya",TV-14,Japan,Japanese,25m,375,9375
Foyle's War,,8.6,"Crime,Drama,Mystery",2002–2015,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Anthony Horowitz,Michael Kitchen,Honeysuckle Weeks,Anthony Howell",TV-14,United Kingdom,English,1h 30m,28,90
The Knick,,8.5,"Drama,History",2014–2015,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Jack Amiel,Michael Begler,André Holland,Clive Owen,Jeremy Bobb",TV-MA,United States,"English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish",58m,21,1218
Big Little Lies,,8.5,"Crime,Drama,Mystery",2017–2019,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"David E. Kelley,Reese Witherspoon,Nicole Kidman,Shailene Woodley",TV-MA,United States,English,1h,14,60
Southland,,8.5,"Crime,Drama,Thriller",2009–2013,The lives of Police Officers working for the Los Angeles Police Department.,"Ann Biderman,Michael Cudlitz,Shawn Hatosy,Regina King",TV-MA,United States,"English,Spanish",42m,43,1806
Avrupa Yakasi,,8.6,Comedy,2004–2009,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"Gülse Birsel,Levent Üzümcü,Senay Gürler",,Turkey,Turkish,,190,
Your Lie in April,Original title: Shigatsu wa kimi no uso,8.6,"Animation,Comedy,Drama",2014–2018,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Natsuki Hanae,Risa Taneda,Ayane Sakura",TV-PG,Japan,Japanese,23m,24,552
Alfred Hitchcock Presents,,8.5,"Comedy,Crime,Drama",1955–1962,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Alfred Hitchcock,Harry Tyler,John Williams",TV-14,United States,English,25m,268,6700
The Night Of,,8.5,"Crime,Drama,Mystery",2016,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Richard Price,Steven Zaillian,Riz Ahmed,John Turturro,Bill Camp",TV-MA,United States,English,8h 45m,8,525
The Angry Video Game Nerd,,8.5,Comedy,2004– ,A foul-mouthed nerd reviews bad video games.,"James Rolfe,James Rolfe,Mike Matei,Kyle Rogers",TV-MA,United States,"English,Spanish",35m,248,8680
Derry Girls,,8.5,Comedy,2018–2022,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,"Lisa McGee,Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill",TV-MA,United Kingdom,English,30m,19,570
Generation Kill,,8.5,"Drama,War",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Alexander Skarsgård,James Ransone,Lee Tergesen",TV-MA,"United States,United Kingdom",English,1h 10m,7,70
Wentworth,,8.6,"Crime,Drama,Thriller",2013–2021,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Reg Watson,Lara Radulovich,Kate Atkinson,Katrina Milosevic,Robbie Magasiva",TV-MA,Australia,English,45m,100,4500
My Brilliant Friend,Original title: L'amica geniale,8.6,Drama,2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"Saverio Costanzo,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace",TV-MA,"Italy,United States","Italian,Neapolitan",1h,25,60
Chef's Table,,8.5,Documentary,2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Bill Buford,Massimo Bottura,Francis Mallmann",TV-MA,United States,English,50m,30,1500
